# model_name='gemini-2.5-pro-preview-06-05', reasoning_budget=32000, tries=0, n=11, i=7
# valid_prefix_length=192, is_valid_solution=0, first_correction=-1

<think>
**Generating the Tower of Hanoi Solution**

I've been asked to solve the Tower of Hanoi puzzle for 11 disks and provide the full list of moves in CSV format, which means generating 2047 lines of output. As an expert, I know the standard recursive solution requires $2^n - 1$ moves, which is where this number comes from.

The objective is to move all the disks from peg 0 to peg 2. I'm provided the recursive algorithm, which boils down to:

1.  Move $n-1$ disks from source to auxiliary.
2.  Move the largest disk from source to destination.
3.  Move $n-1$ disks from auxiliary to destination.

I'll define a function `hanoi(n, source, destination, auxiliary)` to represent this. For the specific problem I'm tasked with, I'll call `hanoi(11, 0, 2, 1)`.

To ensure I implement the correct logic, I traced the calls with a smaller example (n=3), and checked the intermediate states to confirm that the logic works correctly.

The core of the solution involves the `solve(k, source, dest, aux)` function, which I wrote in Python-like pseudocode. To generate the solution, I'll use the algorithm directly and ensure it's executed systematically.
71,1,0,11 10 9 8 3 2 1,6 5 4,7
72,1,2,11 10 9 8 3 2 1,6 5,7 4
73,0,2,11 10 9 8 3 2,,7 4 1
74,0,1,11 10 9 8 3,2,7 4 1
75,2,1,11 10 9 8 3,2 1,7 4
76,0,2,11 10 9 8,2 1,7 4 3
77,1,0,11 10 9 8 1,2,7 4 3
78,1,2,11 10 9 8 1,,7 4 3 2
79,0,2,11 10 9 8,,7 4 3 2 1
80,1,0,11 10 9 8 5,6,7 4 3 2 1
81,2,1,11 10 9 8 5,6 1,7 4 3 2
82,2,0,11 10 9 8 5 2,6 1,7 4 3
83,1,0,11 10 9 8 5 2 1,6,7 4 3
84,2,1,11 10 9 8 5 2 1,6 3,7 4
85,0,2,11 10 9 8 5 2,6 3,7 4 1
86,0,1,11 10 9 8 5,6 3 2,7 4 1
87,2,1,11 10 9 8 5,6 3 2 1,7 4
88,2,0,11 10 9 8 5 4,6 3 2 1,7
89,1,0,11 10 9 8 5 4 1,6 3 2,7
90,1,2,11 10 9 8 5 4 1,6 3,7 2
91,0,2,11 10 9 8 5 4,6 3,7 2 1
92,1,0,11 10 9 8 5 4 3,6,7 2 1
93,2,1,11 10 9 8 5 4 3,6 1,7 2
94,2,0,11 10 9 8 5 4 3 2,6 1,7
95,1,0,11 10 9 8 5 4 3 2 1,6,7
96,1,2,11 10 9 8 5 4 3 2 1,,7 6
97,0,2,11 10 9 8 5 4 3 2,,7 6 1
98,0,1,11 10 9 8 5 4 3,2,7 6 1
99,2,1,11 10 9 8 5 4 3,2 1,7 6
100,0,2,11 10 9 8 5 4,2 1,7 6 3
101,1,0,11 10 9 8 5 4 1,2,7 6 3
102,1,2,11 10 9 8 5 4 1,,7 6 3 2
103,0,2,11 10 9 8 5 4,,7 6 3 2 1
104,0,1,11 10 9 8 5,4,7 6 3 2 1
105,2,1,11 10 9 8 5,4 1,7 6 3 2
106,2,0,11 10 9 8 5 2,4 1,7 6 3
107,1,0,11 10 9 8 5 2 1,4,7 6 3
108,2,1,11 10 9 8 5 2 1,4 3,7 6
109,0,2,11 10 9 8 5 2,4 3,7 6 1
110,0,1,11 10 9 8 5,4 3 2,7 6 1
111,2,1,11 10 9 8 5,4 3 2 1,7 6
112,0,2,11 10 9 8,4 3 2 1,7 6 5
113,1,0,11 10 9 8 1,4 3 2,7 6 5
114,1,2,11 10 9 8 1,4 3,7 6 5 2
115,0,2,11 10 9 8,4 3,7 6 5 2 1
116,1,0,11 10 9 8 3,4,7 6 5 2 1
117,2,1,11 10 9 8 3,4 1,7 6 5 2
118,2,0,11 10 9 8 3 2,4 1,7 6 5
119,1,0,11 10 9 8 3 2 1,4,7 6 5
120,1,2,11 10 9 8 3 2 1,,7 6 5 4
121,0,2,11 10 9 8 3 2,,7 6 5 4 1
122,0,1,11 10 9 8 3,2,7 6 5 4 1
123,2,1,11 10 9 8 3,2 1,7 6 5 4
124,0,2,11 10 9 8,2 1,7 6 5 4 3
125,1,0,11 10 9 8 1,2,7 6 5 4 3
126,1,2,11 10 9 8 1,,7 6 5 4 3 2
127,0,2,11 10 9 8,,7 6 5 4 3 2 1
128,0,1,11 10 9,8,7 6 5 4 3 2 1
129,2,1,11 10 9,8 1,7 6 5 4 3 2
130,2,0,11 10 9 2,8 1,7 6 5 4 3
131,1,0,11 10 9 2 1,8,7 6 5 4 3
132,2,1,11 10 9 2 1,8 3,7 6 5 4
133,0,2,11 10 9 2,8 3,7 6 5 4 1
134,0,1,11 10 9,8 3 2,7 6 5 4 1
135,2,1,11 10 9,8 3 2 1,7 6 5 4
136,2,0,11 10 9 4,8 3 2 1,7 6 5
137,1,0,11 10 9 4 1,8 3 2,7 6 5
138,1,2,11 10 9 4 1,8 3,7 6 5 2
139,0,2,11 10 9 4,8 3,7 6 5 2 1
140,1,0,11 10 9 4 3,8,7 6 5 2 1
141,2,1,11 10 9 4 3,8 1,7 6 5 2
142,2,0,11 10 9 4 3 2,8 1,7 6 5
143,1,0,11 10 9 4 3 2 1,8,7 6 5
144,2,1,11 10 9 4 3 2 1,8 5,7 6
145,0,2,11 10 9 4 3 2,8 5,7 6 1
146,0,1,11 10 9 4 3,8 5 2,7 6 1
147,2,1,11 10 9 4 3,8 5 2 1,7 6
148,0,2,11 10 9 4,8 5 2 1,7 6 3
149,1,0,11 10 9 4 1,8 5 2,7 6 3
150,1,2,11 10 9 4 1,8 5,7 6 3 2
151,0,2,11 10 9 4,8 5,7 6 3 2 1
152,0,1,11 10 9,8 5 4,7 6 3 2 1
153,2,1,11 10 9,8 5 4 1,7 6 3 2
154,2,0,11 10 9 2,8 5 4 1,7 6 3
155,1,0,11 10 9 2 1,8 5 4,7 6 3
156,2,1,11 10 9 2 1,8 5 4 3,7 6
157,0,2,11 10 9 2,8 5 4 3,7 6 1
158,0,1,11 10 9,8 5 4 3 2,7 6 1
159,2,1,11 10 9,8 5 4 3 2 1,7 6
160,2,0,11 10 9 6,8 5 4 3 2 1,7
161,1,0,11 10 9 6 1,8 5 4 3 2,7
162,1,2,11 10 9 6 1,8 5 4 3,7 2
163,0,2,11 10 9 6,8 5 4 3,7 2 1
164,1,0,11 10 9 6 3,8 5 4,7 2 1
165,2,1,11 10 9 6 3,8 5 4 1,7 2
166,2,0,11 10 9 6 3 2,8 5 4 1,7
167,1,0,11 10 9 6 3 2 1,8 5 4,7
168,1,2,11 10 9 6 3 2 1,8 5,7 4
169,0,2,11 10 9 6 3 2,,7 4 1
170,0,1,11 10 9 6 3,8 5 2,7 4 1
171,2,1,11 10 9 6 3,8 5 2 1,7 4
172,0,2,11 10 9 6,8 5 2 1,7 4 3
173,1,0,11 10 9 6 1,8 5 2,7 4 3
174,1,2,11 10 9 6 1,8 5,7 4 3 2
175,0,2,11 10 9 6,8 5,7 4 3 2 1
176,1,0,11 10 9 6 5,8,7 4 3 2 1
177,2,1,11 10 9 6 5,8 1,7 4 3 2
178,2,0,11 10 9 6 5 2,8 1,7 4 3
179,1,0,11 10 9 6 5 2 1,8,7 4 3
180,2,1,11 10 9 6 5 2 1,8 3,7 4
181,0,2,11 10 9 6 5 2,8 3,7 4 1
182,0,1,11 10 9 6 5,8 3 2,7 4 1
183,2,1,11 10 9 6 5,8 3 2 1,7 4
184,2,0,11 10 9 6 5 4,8 3 2 1,7
185,1,0,11 10 9 6 5 4 1,8 3 2,7
186,1,2,11 10 9 6 5 4 1,8 3,7 2
187,0,2,11 10 9 6 5 4,8 3,7 2 1
188,1,0,11 10 9 6 5 4 3,8,7 2 1
189,2,1,11 10 9 6 5 4 3,8 1,7 2
190,2,0,11 10 9 6 5 4 3 2,8 1,7
191,1,0,11 10 9 6 5 4 3 2 1,8,7
192,0,2,11 10 9,8,7 6 5 4 3 2 1
193,1,2,11 10 9 1,,7 6 5 4 3 2 8
194,1,0,11 10 9 1 2,,7 6 5 4 3 8
195,2,0,11 10 9 1 2,1,7 6 5 4 3 8
196,1,2,11 10 9 2,1,7 6 5 4 3 8
197,0,1,11 10 9 2,1 3,7 6 5 4 8
198,0,2,11 10 9,1 3,7 6 5 4 8 2
199,1,2,11 10 9,1,7 6 5 4 8 2 3
200,1,0,11 10 9 4,1,7 6 5 8 2 3
201,2,0,11 10 9 4,1 2,7 6 5 8 3
202,2,1,11 10 9 4,1 2 3,7 6 5 8
203,0,1,11 10 9,1 2 3,7 6 5 8 4
204,2,0,11 10 9 3,1 2,7 6 5 8 4
205,2,1,11 10 9 3,1,7 6 5 8 4 2
206,0,1,11 10 9,1,7 6 5 8 4 2 3
207,2,0,11 10 9 5,1,7 6 8 4 2 3
208,1,2,11 10 9 5,,7 6 8 4 2 3 1
209,1,0,11 10 9 5 2,,7 6 8 4 3 1
210,2,0,11 10 9 5 2,1,7 6 8 4 3
211,1,2,11 10 9 5,1,7 6 8 4 3 2
212,0,1,11 10 9 5,1 3,7 6 8 4 2
213,0,2,11 10 9,,1 3,7 6 8 4 2 5
214,1,2,11 10 9,,1,7 6 8 4 2 5 3
215,1,0,11 10 9 4,,1,7 6 8 2 5 3
216,2,0,11 10 9 4,1,7 6 8 2 5 3
217,2,1,11 10 9 4,1 2,7 6 8 5 3
218,0,1,11 10 9,1 2,7 6 8 5 3 4
219,2,0,11 10 9 3,1,7 6 8 5 4
220,2,1,11 10 9 3,,7 6 8 5 4 2
221,0,1,11 10 9,,7 6 8 5 4 2 3
222,2,0,11 10 9 6,,7 8 5 4 2 3
223,1,2,11 10 9 6,1,7 8 5 4 2 3
224,1,0,11 10 9 6 2,1,7 8 5 4 3
225,2,0,11 10 9 6 2,1 3,7 8 5 4
226,1,2,11 10 9 6,1 3,7 8 5 4 2
227,0,1,11 10 9 6,1 3 4,7 8 5 2
228,0,2,11 10 9,1 3 4,7 8 5 2 6
229,1,2,11 10 9,1 3,7 8 5 2 6 4
230,1,0,11 10 9 2,1 3,7 8 5 6 4
231,2,0,11 10 9 2,1,7 8 5 6 4 3
232,1,2,11 10 9,1,7 8 5 6 4 3 2
233,0,1,11 10 9,1 5,7 8 6 4 3 2
234,0,2,11 10,,1 5,7 8 6 4 3 2 9
235,1,2,11 10,,1,7 8 6 4 3 2 9 5
236,1,0,11 10 2,,1,7 8 6 4 3 9 5
237,2,0,11 10 2,1,7 8 6 4 3 9 5
238,1,2,11 10,1,7 8 6 4 3 9 5 2
239,0,1,11 10,1 3,7 8 6 4 9 5 2
240,0,2,11,,1 3,7 8 6 4 9 5 2 10
241,1,2,11,,1,7 8 6 4 9 5 2 10 3
242,1,0,11 4,,1,7 8 6 9 5 2 10 3
243,2,0,11 4,1,7 8 6 9 5 2 10 3
244,1,2,11,1,7 8 6 9 5 2 10 3 4
245,0,1,11,1 2,7 8 6 9 5 10 3 4
246,0,2,11,,1 2,7 8 6 9 5 10 3 4
247,1,2,11,,,7 8 6 9 5 10 3 4 2 1
248,0,1,11 5,,7 8 6 9 10 3 4 2 1
249,2,1,11 5,1,7 8 6 9 10 3 4 2
250,2,0,11 5 2,1,7 8 6 9 10 3 4
251,1,0,11 5 2 1,,7 8 6 9 10 3 4
252,2,1,11 5 2 1,3,7 8 6 9 10 4
253,0,2,11 5 2,3,7 8 6 9 10 4 1
254,0,1,11 5,3 2,7 8 6 9 10 4 1
255,2,1,11 5,3 2 1,7 8 6 9 10 4
256,0,2,11,3 2 1,7 8 6 9 10 4 5
257,1,0,11 1,3 2,7 8 6 9 10 4 5
258,1,2,11 1,3,7 8 6 9 10 4 5 2
259,0,2,11,3,7 8 6 9 10 4 5 2 1
260,1,0,11 4,3,7 8 6 9 10 5 2 1
261,2,1,11 4,3 1,7 8 6 9 10 5 2
262,2,0,11 4 2,3 1,7 8 6 9 10 5
263,1,0,11 4 2 1,3,7 8 6 9 10 5
264,1,2,11 4 2 1,,7 8 6 9 10 5 3
265,0,2,11 4 2,,7 8 6 9 10 5 3 1
266,0,1,11 4,2,7 8 6 9 10 5 3 1
267,2,1,11 4,2 1,7 8 6 9 10 5 3
268,0,2,11,2 1,7 8 6 9 10 5 3 4
269,1,0,11 1,2,7 8 6 9 10 5 3 4
270,1,2,11 1,,7 8 6 9 10 5 3 4 2
271,0,2,11,,7 8 6 9 10 5 3 4 2 1
272,0,1,11 6,7 8 9 10 5 3 4 2 1
273,2,1,11 6,7 8 9 10 5 3 4 2 1
274,2,0,11 6 2,7 8 9 10 5 3 4 1
275,1,0,11 6 2 1,7 8 9 10 5 3 4
276,2,1,11 6 2 1,7 8 9 10 5 3 4
277,0,2,11 6 2,7 8 9 10 5 3 4 1
278,0,1,11 6,7 8 9 10 5 3 4 2 1
279,2,1,11 6,7 8 9 10 5 3 4 2 1
280,2,0,11 6 4,7 8 9 10 5 3 2 1
281,1,0,11 6 4 1,7 8 9 10 5 3 2
282,1,2,11 6 4 1,7 8 9 10 5 3,2
283,0,2,11 6 4,7 8 9 10 5 3,2 1
284,1,0,11 6 4 3,7 8 9 10 5,2 1
285,2,1,11 6 4 3,7 8 9 10 5 1,2
286,2,0,11 6 4 3 2,7 8 9 10 5 1
287,1,0,11 6 4 3 2 1,7 8 9 10 5
288,2,1,11 6 4 3 2 1,7 8 9 10 5
289,0,2,11 6 4 3 2,7 8 9 10,5 1
290,0,1,11 6 4 3,7 8 9 10 2,5 1
291,2,1,11 6 4 3,7 8 9 10 2 1,5
292,0,2,11 6 4,7 8 9 10 2 1,5 3
293,1,0,11 6 4 1,7 8 9 10 2,5 3
294,1,2,11 6 4 1,7 8 9 10,5 3 2
295,0,2,11 6 4,7 8 9 10,5 3 2 1
296,0,1,11 6,7 8 9 10 4,5 3 2 1
297,2,1,11 6,7 8 9 10 4 1,5 3 2
298,2,0,11 6 2,7 8 9 10 4 1,5 3
299,1,0,11 6 2 1,7 8 9 10 4,5 3
300,2,1,11 6 2 1,7 8 9 10 4 3,5
301,0,2,11 6 2,7 8 9 10 4 3,5 1
302,0,1,11 6,7 8 9 10 4 3 2,5 1
303,2,1,11 6,7 8 9 10 4 3 2 1,5
304,0,2,11,7 8 9 10 4 3 2 1,5 6
305,1,0,11 1,7 8 9 10 4 3 2,5 6
306,1,2,11 1,7 8 9 10 4 3,5 6 2
307,0,2,11,7 8 9 10 4 3,5 6 2 1
308,1,0,11 3,7 8 9 10 4,5 6 2 1
309,2,1,11 3,7 8 9 10 4 1,5 6 2
310,2,0,11 3 2,7 8 9 10 4 1,5 6
311,1,0,11 3 2 1,7 8 9 10 4,5 6
312,1,2,11 3 2 1,7 8 9 10,5 6 4
313,0,2,11 3 2,7 8 9 10,5 6 4 1
314,0,1,11 3,7 8 9 10 2,5 6 4 1
315,2,1,11 3,7 8 9 10 2 1,5 6 4
316,0,2,11,7 8 9 10 2 1,5 6 4 3
317,1,0,11 1,7 8 9 10 2,5 6 4 3
318,1,2,11 1,7 8 9 10,5 6 4 3 2
319,0,2,11,7 8 9 10,5 6 4 3 2 1
320,0,1,11 8,7 9 10,5 6 4 3 2 1
321,2,1,11 8,7 9 10 1,5 6 4 3 2
322,2,0,11 8 2,7 9 10 1,5 6 4 3
323,1,0,11 8 2 1,7 9 10,5 6 4 3
324,2,1,11 8 2 1,7 9 10 3,5 6 4
325,0,2,11 8 2,7 9 10 3,5 6 4 1
326,0,1,11 8,7 9 10 3 2,5 6 4 1
327,2,1,11 8,7 9 10 3 2 1,5 6 4
328,2,0,11 8 4,7 9 10 3 2 1,5 6
329,1,0,11 8 4 1,7 9 10 3 2,5 6
330,1,2,11 8 4 1,7 9 10 3,5 6 2
331,0,2,11 8 4,7 9 10 3,5 6 2 1
332,1,0,11 8 4 3,7 9 10,5 6 2 1
333,2,1,11 8 4 3,7 9 10 1,5 6 2
334,2,0,11 8 4 3 2,7 9 10 1,5 6
335,1,0,11 8 4 3 2 1,7 9 10,5 6
336,2,1,11 8 4 3 2 1,7 9 10 5,6
337,0,2,11 8 4 3 2,7 9 10 5,6 1
338,0,1,11 8 4 3,7 9 10 5 2,6 1
339,2,1,11 8 4 3,7 9 10 5 2 1,6
340,0,2,11 8 4,7 9 10 5 2 1,6 3
341,1,0,11 8 4 1,7 9 10 5 2,6 3
342,1,2,11 8 4 1,7 9 10 5,6 3 2
343,0,2,11 8 4,7 9 10 5,6 3 2 1
344,0,1,11 8,7 9 10 5 4,6 3 2 1
345,2,1,11 8,7 9 10 5 4 1,6 3 2
346,2,0,11 8 2,7 9 10 5 4 1,6 3
347,1,0,11 8 2 1,7 9 10 5 4,6 3
348,2,1,11 8 2 1,7 9 10 5 4 3,6
349,0,2,11 8 2,7 9 10 5 4 3,6 1
350,0,1,11 8,7 9 10 5 4 3 2,6 1
351,2,1,11 8,7 9 10 5 4 3 2 1,6
352,2,0,11 8 6,7 9 10 5 4 3 2 1,
353,1,0,11 8 6 1,7 9 10 5 4 3 2,
354,1,2,11 8 6 1,7 9 10 5 4 3,,2
355,0,2,11 8 6,7 9 10 5 4 3,,2 1
356,1,0,11 8 6 3,7 9 10 5 4,,2 1
357,2,1,11 8 6 3,7 9 10 5 4 1,,2
358,2,0,11 8 6 3 2,7 9 10 5 4 1,
359,1,0,11 8 6 3 2 1,7 9 10 5 4,
360,1,2,11 8 6 3 2 1,7 9 10 5,,4
361,0,2,11 8 6 3 2,7 9 10 5,,4 1
362,0,1,11 8 6 3,7 9 10 5 2,,4 1
363,2,1,11 8 6 3,7 9 10 5 2 1,,4
364,0,2,11 8 6,7 9 10 5 2 1,,4 3
365,1,0,11 8 6 1,7 9 10 5 2,,4 3
366,1,2,11 8 6 1,7 9 10 5,,4 3 2
367,0,2,11 8 6,7 9 10 5,,4 3 2 1
368,1,0,11 8 6 5,7 9 10,,4 3 2 1
369,2,1,11 8 6 5,7 9 10 1,,4 3 2
370,2,0,11 8 6 5 2,7 9 10 1,,4 3
371,1,0,11 8 6 5 2 1,7 9 10,,4 3
372,2,1,11 8 6 5 2 1,7 9 10 3,,4
373,0,2,11 8 6 5 2,7 9 10 3,,4 1
374,0,1,11 8 6 5,7 9 10 3 2,,4 1
375,2,1,11 8 6 5,7 9 10 3 2 1,,4
376,2,0,11 8 6 5 4,7 9 10 3 2 1,
377,1,0,11 8 6 5 4 1,7 9 10 3 2,
378,1,2,11 8 6 5 4 1,7 9 10 3,,2
379,0,2,11 8 6 5 4,7 9 10 3,,2 1
380,1,0,11 8 6 5 4 3,7 9 10,,2 1
381,2,1,11 8 6 5 4 3,7 9 10 1,,2
382,2,0,11 8 6 5 4 3 2,7 9 10 1,
383,1,0,11 8 6 5 4 3 2 1,7 9 10,
384,0,2,11 8,7 9 10,,6 5 4 3 2 1
385,1,2,11 8 1,7 9,,6 5 4 3 2 10
386,1,0,11 8 1 2,7 9,,6 5 4 3 10
387,2,0,11 8 1 2,7 9 1,6 5 4 3 10
388,1,2,11 8 2,7 9 1,6 5 4 3 10
389,0,1,11 8 2,7 9 1 3,6 5 4 10
390,0,2,11 8,7 9 1 3,6 5 4 10 2
391,1,2,11 8,7 9 1,6 5 4 10 2 3
392,1,0,11 8 4,7 9 1,6 5 10 2 3
393,2,0,11 8 4,7 9 1 2,6 5 10 3
394,2,1,11 8 4,7 9 1 2 3,6 5 10
395,0,1,11 8,7 9 1 2 3,6 5 10 4
396,2,0,11 8 3,7 9 1 2,6 5 10 4
397,2,1,11 8 3,7 9 1,6 5 10 4 2
398,0,1,11 8,7 9 1,6 5 10 4 2 3
399,2,0,11 8 5,7 9,6 10 4 2 3
400,1,2,11 8 5,7 9,6 10 4 2 3 1
401,1,0,11 8 5 2,7 9,6 10 4 3 1
402,2,0,11 8 5 2,7 9 1,6 10 4 3
403,1,2,11 8 5,7 9 1,6 10 4 3 2
404,0,1,11 8 5,7 9 1 3,6 10 4 2
405,0,2,11 8,7 9 1 3,6 10 4 2 5
406,1,2,11 8,7 9 1,6 10 4 2 5 3
407,1,0,11 8 4,7 9 1,6 10 2 5 3
408,2,0,11 8 4,7 9 1,6 10 2 5 3
409,2,1,11 8 4,7 9 1 2,6 10 5 3
410,0,1,11 8,7 9 1 2,6 10 5 3 4
411,2,0,11 8 3,7 9 1,6 10 5 4
412,2,1,11 8 3,7 9,6 10 5 4 2
413,0,1,11 8,7 9,6 10 5 4 2 3
414,2,0,11 8 6,7,9 10 5 4 2 3
415,1,2,11 8 6,7 1,9 10 5 4 2 3
416,1,0,11 8 6 2,7 1,9 10 5 4 3
417,2,0,11 8 6 2,7 1 3,9 10 5 4
418,1,2,11 8 6,7 1 3,9 10 5 4 2
419,0,1,11 8 6,7 1 3 4,9 10 5 2
420,0,2,11 8,7 1 3 4,9 10 5 2 6
421,1,2,11 8,7 1 3,9 10 5 2 6 4
422,1,0,11 8 2,7 1 3,9 10 5 6 4
423,2,0,11 8 2,7 1,9 10 5 6 4 3
424,1,2,11 8,7 1,9 10 5 6 4 3 2
425,0,1,11 8,7 1 5,9 10 6 4 3 2
426,0,2,11,7 1 5,9 10 6 4 3 2 8
427,1,2,11,7 1,9 10 6 4 3 2 8 5
428,1,0,11 2,7 1,9 10 6 4 3 8 5
429,2,0,11 2,7 1,9 10 6 4 3 8 5
430,1,2,11,7 1,9 10 6 4 3 8 5 2
431,0,1,11,7 1 3,9 10 6 4 8 5 2
432,0,2,11 7,1 3,9 10 6 4 8 5 2
433,1,2,11 7,1,9 10 6 4 8 5 2 3
434,1,0,11 7 4,1,9 10 6 8 5 2 3
435,2,0,11 7 4,1 2,9 10 6 8 5 3
436,1,2,11 7,1 2,9 10 6 8 5 3 4
437,0,1,11 7,1 2 3,9 10 6 8 5 4
438,0,2,11,1 2 3,9 10 6 8 5 4 7
439,1,2,11,1 2,9 10 6 8 5 4 7 3
440,1,0,11 5,1 2,9 10 6 8 4 7 3
441,2,0,11 5,1,9 10 6 8 4 7 3 2
442,1,2,11,1,9 10 6 8 4 7 3 2 5
443,0,1,11,1 3,9 10 6 8 4 7 2 5
444,0,2,11,1,9 10 6 8 4 7 2 5 3
445,1,2,11,,9 10 6 8 4 7 2 5 3 1
446,1,0,11 2,,9 10 6 8 4 7 5 3 1
447,2,0,11 2,1,9 10 6 8 4 7 5 3
448,1,2,11,1,9 10 6 8 4 7 5 3 2
449,0,1,11,1 4,9 10 6 8 7 5 3 2
450,0,2,11,,1 4,9 10 6 8 7 5 3 2
