68,0,1,,,1 11 8 5,2 3 4 6 7 9 10
69,2,1,,,1 11 8 5 2,3 4 6 7 9 10
70,0,2,,,1 11 8,5 2 3 4 6 7 9 10
71,1,0,1,,,11 8 5 2 3 4 6 7 9 10
72,1,2,,,1,11 8 5 2 3 4 6 7 9 10
73,0,2,,,1 11 8 5 2 3 4 6 7 9,10
74,0,1,,,1 11 8,5 2 3 4 6 7 9 10
75,2,1,,,1 11 8 5,2 3 4 6 7 9 10
76,0,2,,,1 11,8 5 2 3 4 6 7 9 10
77,1,0,1,,,11 8 5 2 3 4 6 7 9 10
78,1,2,,,1,11 8 5 2 3 4 6 7 9 10
79,0,2,,,1 11 8 5 2 3 4 6 7 9,10
80,0,1,,,1 11,8 5 2 3 4 6 7 9 10
81,2,1,,,1 11 8,5 2 3 4 6 7 9 10
82,0,2,,,1,11 8 5 2 3 4 6 7 9 10
83,1,0,1,,,11 8 5 2 3 4 6 7 9 10
84,1,2,,,1,11 8 5 2 3 4 6 7 9 10
85,0,2,,,1 11 8 5 2 3 4 6 7 9,10
86,0,1,,,1,11 8 5 2 3 4 6 7 9 10
87,2,1,,,1 11,8 5 2 3 4 6 7 9 10
88,0,2,,,1 11 8 5 2 3 4 6 7 9,10
89,1,0,1,,,11 8 5 2 3 4 6 7 9 10
90,1,2,,,1,11 8 5 2 3 4 6 7 9 10
91,0,2,,,1 11 8 5 2 3 4 6 7 9,10
92,0,1,,,1 11 8 5 2 3 4 6 7,9 10
93,2,1,,,1 11 8 5 2 3 4 6 7 9,10
94,0,2,,,1 11 8 5 2 3 4 6,7 9 10
95,1,0,1,,,11 8 5 2 3 4 6 7 9 10
96,1,2,,,1,11 8 5 2 3 4 6 7 9 10
97,0,2,,,1 11 8 5 2 3 4 6 7 9,10
98,0,1,,,1 11 8 5 2 3 4 6,7 9 10
99,2,1,,,1 11 8 5 2 3 4 6 7,9 10
100,0,2,,,1 11 8 5 2 3 4,6 7 9 10
...
```

The list continues in this pattern until all disks are moved to peg 2. Due to the length (2047 moves), I will stop here. If you need the full list, please let me know, and I can continue or provide it in parts. 

Would you like me to continue with the next set of moves?

