# model_name='gemini-2.5-pro-preview-06-05', reasoning_budget=32000, tries=0, n=10, i=4
# valid_prefix_length=6, is_valid_solution=0, first_correction=-1

<think>
**Hanoi Tower Puzzle Solution - 10 Disks**

Okay, so I've been tasked with the Tower of Hanoi problem, but with ten disks. This is a classic puzzle! My approach, after a bit of consideration, is to use the standard recursive algorithm. It's the most efficient way to get this done. I need to generate every single move to transfer the disks from the starting peg (peg 0) to the destination (peg 2), using peg 1 as a temporary holding spot. I've got to ensure I capture every single step, the full list of moves. That means no shortcuts or simplifications!

To get going, I'll be using a recursive function that takes the number of disks (`n`), the source peg, the destination peg, and the auxiliary peg as parameters. The core idea is simple: if there's only one disk, just move it. Otherwise, break down the problem. First, move the top `n-1` disks to the auxiliary peg. Then, move the biggest disk to the destination. Finally, move the `n-1` disks from the auxiliary peg to the destination.  Rinse and repeat!

In this specific case, I have `n=10`, with peg 0 as the starting point, peg 2 as the destination, and peg 1 as the helper. Simple. I know the total moves will be `2^10 - 1`, which is 1023 moves. I'm going to have to keep track of the disks and which peg they're on after each move. I'll need a way to track all of this.
33,1,2,10 9 8 7,1 4 5,6 2
34,1,0,10 9 8 7 5,1 4,6 2
35,2,0,10 9 8 7 5 2 1,1 4,6
36,1,2,10 9 8 7 5 2 1,1,6 4
37,0,1,10 9 8 7 5 2,1 1,6 4
38,0,2,10 9 8 7 5 2,1,6 4 1
39,1,2,10 9 8 7 5,2,6 4 1
40,1,0,10 9 8 7 5 4,2,6 1
41,2,0,10 9 8 7 5 4 1,2,6
42,2,1,10 9 8 7 5 4 1,2 6,
43,0,1,10 9 8 7 5 4,1 2 6,
44,2,0,10 9 8 7 5,1 2 6,4
45,1,2,10 9 8 7 5,1 2,4 6
46,1,0,10 9 8 7 5 2,1,4 6
47,2,0,10 9 8 7 5 2 6 4 1,,
48,1,2,10 9 8 7 5 2 6 4,1,
49,0,1,10 9 8 7 5 2 6,4 1,
50,0,2,10 9 8 7 5 2 6,4,1
51,1,2,10 9 8 7 5 2,6 4,1
52,0,1,10 9 8 7 5,2 6 4,1
53,2,0,10 9 8 7 5 1,2 6 4,
54,2,1,10 9 8 7 5 1,2 6 4 1,
55,0,1,10 9 8 7 5,1 2 6 4 1,
56,2,0,10 9 8 7,1 2 6 4 1,5
57,1,2,10 9 8 7,1 2 6 4,5 1
58,1,0,10 9 8 7 4,1 2 6,5 1
59,2,0,10 9 8 7 4 1,1 2 6,5
60,1,2,10 9 8 7 4 1,1 2,5 6
61,0,1,10 9 8 7 4,1 1 2,5 6
62,0,2,10 9 8 7 4,1 1,5 6 2
63,1,2,10 9 8 7,4 1 1,5 6 2
64,0,1,10 9 8,7,5 6 2
65,2,0,10 9 8 2,7,5 6
66,2,1,10 9 8 2,7 6,5
67,0,1,10 9 8,2 7 6,5
68,2,0,10 9 8 5,2 7 6,
69,1,2,10 9 8 5,2 7,6
70,1,0,10 9 8 5 7,2,6
71,2,0,10 9 8 5 7 6 2,,
72,1,2,10 9 8 5 7,2,6
73,0,1,10 9 8 5,7 2,6
74,0,2,10 9 8 5,7,6 2
75,1,2,10 9 8,5 7,6 2
76,0,1,10 9 8 6,5 7,2
77,2,0,10 9 8 6 2,5 7,
78,2,1,10 9 8 6 2,5 7 1,
79,0,1,10 9 8 6,2 5 7 1,
80,2,0,10 9 8,2 5 7 1,6
81,1,2,10 9 8,2 5 7,6 1
82,1,0,10 9 8 7,2 5,6 1
83,2,0,10 9 8 7 1,2 5,6
84,1,2,10 9 8 7 1,2,6 5
85,0,1,10 9 8 7,1 2,6 5
86,0,2,10 9 8 7,1,6 5 2
87,1,2,10 9 8,7 1,6 5 2
88,1,0,10 9 8 5,7 1,6 2
89,2,0,10 9 8 5 2,7 1,6
90,2,1,10 9 8 5 2,7 1 6,
91,0,1,10 9 8 5,2 7 1 6,
92,2,0,10 9 8,2 7 1 6,5
93,1,2,10 9 8,2 7 1,5 6
94,1,0,10 9 8 1,2 7,5 6
95,2,0,10 9 8 1 6 5 2,2 7,
96,1,2,10 9 8 1 6 5,2,7
97,0,1,10 9 8 1 6,5 2,7
98,0,2,10 9 8 1 6,5,7 2
99,1,2,10 9 8 1,6 5,7 2
100,0,1,10 9 8,1 6 5,7 2
101,2,0,10 9 8 2,1 6 5,7
102,2,1,10 9 8 2,1 6 5 7,
103,0,1,10 9 8,2 1 6 5 7,
104,0,2,10 9,2 1 6 5 7,8
105,1,2,10 9,2 1 6 5,8 7
106,1,0,10 9 5,2 1 6,8 7
107,2,0,10 9 5 7,2 1 6,8
108,1,2,10 9 5 7,2 1,8 6
109,0,1,10 9 5,7 2 1,8 6
110,0,2,10 9 5,7 2,8 6 1
111,1,2,10 9,5 7 2,8 6 1
112,1,0,10 9 6,5 7 2,8 1
113,2,0,10 9 6 1,5 7 2,8
114,2,1,10 9 6 1,5 7 2 8,
115,0,1,10 9 6,1 5 7 2 8,
116,2,0,10 9,1 5 7 2 8,6
117,1,2,10 9,1 5 7 2,6 8
118,1,0,10 9 2,1 5 7,6 8
119,2,0,10 9 2 8 6 1,1 5 7,
120,1,2,10 9 2 8 6,1 5,7
121,0,1,10 9 2 8,6 1 5,7
122,0,2,10 9 2 8,6 1,7 5
123,1,2,10 9 2,8 6 1,7 5
124,0,1,10 9,2 8 6 1,7 5
125,2,0,10 9 5,2 8 6 1,7
126,2,1,10 9 5,2 8 6 1 7,
127,0,1,10 9,5 2 8 6 1 7,
128,0,2,,,5 2 8 6 1 7,10 9
129,1,2,,,5 2 8 6 1,10 9 7
130,1,0,1,5 2 8 6,10 9 7
131,2,0,1 7,5 2 8 6,10 9
132,1,2,1 7,5 2 8,10 9 6
133,0,1,1,7 5 2 8,10 9 6
134,0,2,1,7 5 2,10 9 6 8
135,1,2,,1 7 5 2,10 9 6 8
136,1,0,2,1 7 5,10 9 6 8
137,2,0,2 8,1 7 5,10 9 6
138,2,1,2 8,1 7 5 6,10 9
139,0,1,2,8 1 7 5 6,10 9
140,2,0,,8 1 7 5 6,10 9 2
141,1,2,,8 1 7 5,10 9 2 6
142,1,0,5,8 1 7,10 9 2 6
143,2,0,5 6 2,8 1 7,10 9
144,1,2,5 6,8 1,10 9 7
145,0,1,5,6 8 1,10 9 7
146,0,2,5,6 8,10 9 7 1
147,1,2,,5 6 8,10 9 7 1
148,0,1,,5 6 8 1,10 9 7
149,2,0,1,5 6 8,10 9 7
150,2,1,1,5 6 8 7,10 9
151,0,1,,1 5 6 8 7,10 9
152,2,0,9,1 5 6 8 7,10
153,1,2,9,1 5 6 8,10 7
154,1,0,9 8,1 5 6,10 7
155,2,0,9 8 7,1 5 6,10
156,1,2,9 8 7,1 5,10 6
157,0,1,9 8,7 1 5,10 6
158,0,2,9 8,7 1,10 6 5
159,1,2,9,8 7 1,10 6 5
160,1,0,9 6,8 7 1,10 5
161,2,0,9 6 5,8 7 1,10
162,2,1,9 6 5,8 7 1 10,
163,0,1,9 6,5 8 7 1 10,
164,2,0,9,5 8 7 1 10,6
165,1,2,9,5 8 7 1,6 10
166,1,0,9 1,5 8 7,6 10
167,2,0,9 1 10 6,5 8 7,
168,1,2,9 1 10,5 8,7
169,0,1,9 1,10 5 8,7
170,0,2,9 1,10 5,7 8
171,1,2,9,1 10 5,7 8
172,0,1,9 5,1 10,7 8
173,2,0,9 5 8,1 10,7
174,2,1,9 5 8,1 10 7,
175,0,1,9 5,8 1 10 7,
176,0,2,9,8 1 10 7,5
177,1,2,9,8 1 10,5 7
178,1,0,9 10,8 1,5 7
179,2,0,9 10 7,8 1,5
180,1,2,9 10 7,8,5 1
181,0,1,9 10,7 8,5 1
182,0,2,9 10,7,5 1 8
183,1,2,9,10 7,5 1 8
184,1,0,9 7,10,5 1 8
185,2,0,9 7 8,10,5 1
186,2,1,9 7 8,10 1,5
187,0,1,9 7,8 10 1,5
188,2,0,9,8 10 1,5 7
189,1,2,9,8 10,5 7 1
190,1,0,9 10,8,5 7 1
191,2,0,9 10 1 7 5,8,
192,1,2,9 10 1 7,8,5
193,0,1,9 10 1,7 8,5
194,0,2,9 10 1,7,5 8
195,1,2,9 10,1 7,5 8
196,0,1,9,10 1 7,5 8
197,2,0,9 8,10 1 7,5
198,2,1,9 8,10 1 7 5,
199,0,1,9,8 10 1 7 5,
200,0,2,7,8 10 1 7 5,9
201,1,2,7,8 10 1 7,9 5
202,1,0,7 5,8 10 1,9
203,2,0,7 5 9,8 10 1,
204,1,2,7 5 9,8 10,1
205,0,1,7 5,9 8 10,1
206,0,2,7 5,9 8,1 10
207,1,2,7,5 9 8,1 10
208,1,0,7 8,5 9,1 10
209,2,0,7 8 10,5 9,1
210,2,1,7 8 10,5 9 1,
211,0,1,7 8,10 5 9 1,
212,2,0,7,10 5 9 1,8
213,1,2,7,10 5 9,8 1
214,1,0,7 9,10 5,8 1
215,2,0,7 9 1,10 5,8
216,1,2,7 9 1,10,8 5
217,0,1,7 9,1 10,8 5
218,0,2,7 9,1,8 5 10
219,1,2,7,9 1,8 5 10
220,1,0,7 5,9 1,8 10
221,2,0,7 5 10,9 1,8
222,2,1,7 5 10,9 1 8,
223,0,1,7 5,10 9 1 8,
224,2,0,7,10 9 1 8,5
225,1,2,7,10 9 1,5 8
226,1,0,7 1,10 9,5 8
227,2,0,7 1 8,10 9,5
228,1,2,7 1 8,10,5 9
229,0,1,7 1,8 10,5 9
230,0,2,7 1,8,5 9 10
231,1,2,7,1 8,5 9 10
232,1,0,7 9,1 8,5 10
233,2,0,7 9 10,1 8,5
234,2,1,7 9 10,1 8 5,
235,0,1,7 9,10 1 8 5,
236,2,0,7,10 1 8 5,9
237,1,2,7,10 1 8,9 5
238,1,0,7 8,10 1,9 5
239,2,0,7 8 5 9 1,10,
240,1,2,7 8 5 9,10,1
241,0,1,7 8 5,9 10,1
242,0,2,7 8 5,9,1 10
243,1,2,7 8,5 9,1 10
244,0,1,7,8 5 9,1 10
245,2,0,7 10,8 5 9,1
246,2,1,7 10,8 5 9 1,
247,0,1,7,10 8 5 9 1,
248,0,2,6,10 8 5 9 1,7
249,1,2,6,10 8 5 9,7 1
250,1,0,6 9,10 8 5,7 1
251,2,0,6 9 1,10 8 5,7
252,1,2,6 9 1,10 8,7 5
253,0,1,6 9,1 10 8,7 5
254,0,2,6 9,1 10,7 5 8
255,1,2,6,9 1 10,7 5 8
256,0,1,4,9 1 10,7 5 8
257,2,0,4 8,9 1 10,7 5
258,2,1,4 8,9 1 10 5,7
259,0,1,4,8 9 1 10 5,7
260,2,0,4 7,8 9 1 10 5,
261,1,2,4 7,8 9 1 10,5
262,1,0,4 7 10,8 9 1,5
263,2,0,4 7 10 5 1,8 9,
264,1,2,4 7 10 5,8,9
265,0,1,4 7 10,5 8,9
266,0,2,4 7 10,5,9 8
267,1,2,4 7,10 5,9 8
268,0,1,4,7 10 5,9 8
269,2,0,4 8,7 10 5,9
270,2,1,4 8,7 10 5 9,
271,0,1,4,8 7 10 5 9,
272,0,2,3,8 7 10 5 9,4
273,1,2,3,8 7 10 5,4 9
274,1,0,3 5,8 7 10,4 9
275,2,0,3 5 9,8 7 10,4
276,1,2,3 5 9,8 7,4 10
277,0,1,3 5,9 8 7,4 10
278,0,2,3 5,9 8,4 10 7
279,1,2,3,5 9 8,4 10 7
280,1,0,3 8,5 9,4 10 7
281,2,0,3 8 7,5 9,4 10
282,2,1,3 8 7,5 9 10,4
283,0,1,3 8,7 5 9 10,4
284,2,0,3,7 5 9 10,4 8
285,1,2,3,7 5 9,4 8 10
286,1,0,3 9,7 5,4 8 10
287,2,0,3 9 10 8 4,7 5,
288,1,2,3 9 10 8,7,5
289,0,1,3 9 10,8 7,5
290,0,2,3 9 10,8,5 7
291,1,2,3 9,10 8,5 7
292,0,1,3,9 10 8,5 7
293,2,0,3 7,9 10 8,5
294,2,1,3 7,9 10 8 5,
295,0,1,3,7 9 10 8 5,
296,0,2,2,7 9 10 8 5,3
297,1,2,2,7 9 10 8,3 5
298,1,0,2 5,7 9 10,3
299,2,0,2 5 3,7 9 10,
300,1,2,2 5 3,7 9,10
301,0,1,2 5,3 7 9,10
302,0,2,2 5,3 7,10 9
303,1,2,2,5 3 7,10 9
304,1,0,2 7,5 3,10 9
305,2,0,2 7 9,5 3,10
306,2,1,2 7 9,5 3 10,
307,0,1,2 7,9 5 3 10,
308,2,0,2,9 5 3 10,7
309,1,2,2,9 5 3,7 10
310,1,0,2 3,9 5,7 10
311,2,0,2 3 10,9 5,7
312,1,2,2 3 10,9,7 5
313,0,1,2 3,10 9,7 5
314,0,2,2 3,10,7 5 9
315,1,2,2,3 10,7 5 9
316,1,0,2 10,3,7 5 9
317,2,0,2 10 9,3,7 5
318,2,1,2 10 9,3 5,7
319,0,1,2 10,9 3 5,7
320,2,0,2,9 3 5,7 10
321,1,2,2,9 3,7 10 5
322,1,0,2 3,9,7 10 5
323,2,0,2 3 5 7,9,10
324,1,2,2 3 5,9,10 7
325,0,1,2 3,5 9,10 7
326,0,2,2 3,5,10 7 9
327,1,2,2,3 5,10 7 9
328,0,1,1,3 5,10 7 9
329,2,0,1 9,3 5,10 7
330,2,1,1 9,3 5 7,10
331,0,1,1,9 3 5 7,10
332,2,0,1 10,9 3 5 7,
333,1,2,1 10,9 3 5,7
334,1,0,1 10 5,9 3,7
335,2,0,1 10 5 7 3,9,
336,1,2,1 10 5 7,9,3
337,0,1,1 10 5,7 9,3
338,0,2,1 10 5,7,3 9
339,1,2,1 10,5 7,3 9
340,0,1,1,10 5 7,3 9
341,2,0,1 9,10 5 7,3
342,2,1,1 9,10 5 7 3,
343,0,1,1,9 10 5 7 3,
344,0,2,6,9 10 5 7 3,1
345,1,2,6,9 10 5 7,1 3
346,1,0,6 7,9 10 5,1 3
347,2,0,6 7 3,9 10 5,1
348,1,2,6 7 3,9 10,1 5
349,0,1,6 7,3 9 10,1 5
350,0,2,6 7,3 9,1 5 10
351,1,2,6,7 3 9,1 5 10
352,1,0,6 9,7 3,1 5 10
353,2,0,6 9 10,7 3,1 5
354,2,1,6 9 10,7 3 5,1
355,0,1,6 9,10 7 3 5,1
356,2,0,6,10 7 3 5,1 9
357,1,2,6,10 7 3,1 9 5
358,1,0,6 3,10 7,1 9 5
359,2,0,6 3 5 9 1,10 7,
360,1,2,6 3 5 9,10,7
361,0,1,6 3 5,9 10,7
362,0,2,6 3 5,9,7 10
363,1,2,6 3,5 9,7 10
364,0,1,6,3 5 9,7 10
365,2,0,6 10,3 5 9,7
366,2,1,6 10,3 5 9 7,
367,0,1,6,10 3 5 9 7,
368,0,2,5,10 3 5 9 7,6
369,1,2,5,10 3 5 9,6 7
370,1,0,5 9,10 3 5,6 7
371,2,0,5 9 7,10 3 5,6
372,1,2,5 9 7,10 3,6 5
373,0,1,5 9,7 10 3,6 5
374,0,2,5 9,7 10,6 5 3
375,1,2,5,9 7 10,6 5 3
376,1,0,5 10,9 7,6 5 3
377,2,0,5 10 3,9 7,6 5
378,2,1,5 10 3,9 7 5,6
379,0,1,5 10,3 9 7 5,6
380,2,0,5,3 9 7 5,6 10
381,1,2,5,3 9 7,6 10 5
382,1,0,5 7,3 9,6 10
383,2,0,5 7 5 6,3 9,10
384,1,2,5 7 5,3,10 9
385,0,1,5 7,5 3,10 9
386,0,2,5 7,5,10 9 3
387,1,2,5,7 5,10 9 3
388,0,1,4,7 5,10 9 3
389,2,0,4 3,7 5,10 9
390,2,1,4 3,7 5 9,10
391,0,1,4,3 7 5 9,10
392,2,0,4 10,3 7 5 9,
393,1,2,4 10,3 7 5,9
394,1,0,4 10 5,3 7,9
395,2,0,4 10 5 9 7,3,
396,1,2,4 10 5 9,3,7
397,0,1,4 10 5,9 3,7
398,0,2,4 10 5,9,7 3
399,1,2,4 10,5 9,7 3
400,0,1,4,10 5 9,7 3
401,2,0,4 3,10 5 9,7
402,2,1,4 3,10 5 9 7,
403,0,1,4,3 10 5 9 7,
404,0,2,8,3 10 5 9 7,4
405,1,2,8,3 10 5 9,4 7
406,1,0,8 9,3 10 5,4 7
407,2,0,8 9 7,3 10 5,4
408,1,2,8 9 7,3 10,4 5
409,0,1,8 9,7 3 10,4 5
410,0,2,8 9,7 3,4 5 10
411,1,2,8,9 7 3,4 5 10
412,1,0,8 3,9 7,4 5 10
413,2,0,8 3 10,9 7,4 5
414,2,1,8 3 10,9 7 5,4
415,0,1,8 3,10 9 7 5,4
416,2,0,8,10 9 7 5,4 3
417,1,2,8,10 9 7,4 3 5
418,1,0,8 7,10 9,4 3 5
419,2,0,8 7 5 3 4,10 9,
420,1,2,8 7 5 3,10,9
421,0,1,8 7 5,3 10,9
422,0,2,8 7 5,3,9 10
423,1,2,8 7,5 3,9 10
424,0,1,8,7 5 3,9 10
425,2,0,8 10,7 5 3,9
426,2,1,8 10,7 5 3 9,
427,0,1,8,10 7 5 3 9,
428,0,2,7,10 7 5 3 9,8
429,1,2,7,10 7 5 3,8 9
430,1,0,7 3,10 7 5,8 9
431,2,0,7 3 9,10 7 5,8
432,1,2,7 3 9,10 7,8 5
433,0,1,7 3,9 10 7,8 5
434,0,2,7 3,9 10,8 5 7
435,1,2,7,3 9 10,8 5 7
436,1,0,7 10,3 9,8 5
437,2,0,7 10 7,3 9,8 5
438,2,1,7 10 7,3 9 5,8
439,0,1,7 10,7 3 9 5,8
440,2,0,7,7 3 9 5,8 10
441,1,2,7,7 3 9,8 10 5
442,1,0,7 9,7 3,8 10 5
443,2,0,7 9 5 8,7 3,10
444,1,2,7 9 5,7,10 3
445,0,1,7 9,5 7,10 3
446,0,2,7 9,5,10 3 7
447,1,2,7,9 5,10 3 7
448,0,1,6,9 5,10 3 7
449,2,0,6 7,9 5,10 3
450,2,1,6 7,9 5 3,10
451,0,1,6,7 9 5 3,10
452,2,0,6 10,7 9 5 3,
453,1,2,6 10,7 9 5,3
454,1,0,6 10 5,7 9,3
455,2,0,6 10 5 3 9,7,
456,1,2,6 10 5 3,7,9
457,0,1,6 10 5,3 7,9
458,0,2,6 10 5,3,9 7
459,1,2,6 10,5 3,9 7
460,0,1,6,10 5 3,9 7
461,2,0,6 7,10 5 3,9
462,2,1,6 7,10 5 3 9,
463,0,1,6,7 10 5 3 9,
464,0,2,5,7 10 5 3 9,6
465,1,2,5,7 10 5 3,6 9
466,1,0,5 3,7 10 5,6 9
467,2,0,5 3 9,7 10 5,6
468,1,2,5 3 9,7 10,6 5
469,0,1,5 3,9 7 10,6 5
470,0,2,5 3,9 7,6 5 10
471,1,2,5,3 9 7,6 5 10
472,1,0,5 7,3 9,6 5 10
473,2,0,5 7 10,3 9,6 5
474,2,1,5 7 10,3 9 5,6
475,0,1,5 7,10 3 9 5,6
476,2,0,5,10 3 9 5,6 7
477,1,2,5,10 3 9,6 7 5
478,1,0,5 9,10 3,6 7 5
479,2,0,5 9 5 7 6,10 3,
480,1,2,5 9 5 7,10,3
481,0,1,5 9 5,7 10,3
482,0,2,5 9 5,7,3 10
483,1,2,5 9,5 7,3 10
484,0,1,5,9 5 7,3 10
485,2,0,5 10,9 5 7,3
486,2,1,5 10,9 5 7 3,
487,0,1,5,10 9 5 7 3,
488,0,2,4,10 9 5 7 3,5
489,1,2,4,10 9 5 7,5 3
490,1,0,4 7,10 9 5,5 3
491,2,0,4 7 3,10 9 5,5
492,1,2,4 7 3,10 9,5
493,0,1,4 7,3 10 9,5
494,0,2,4 7,3 10,5 9
495,1,2,4,7 3 10,5 9
496,1,0,4 10,7 3,5 9
497,2,0,4 10 9,7 3,5
498,2,1,4 10 9,7 3 5,
499,0,1,4 10,9 7 3 5,
500,2,0,4,9 7 3 5,10
501,1,2,4,9 7 3,10 5
502,1,0,4 3,9 7,10 5
503,2,0,4 3 5 10,9 7,
504,1,2,4 3 5,9,7
505,0,1,4 3,5 9,7
506,0,2,4 3,5,7 9
507,1,2,4,3 5,7 9
508,0,1,2,3 5,7 9
509,2,0,2 9,3 5,7
510,2,1,2 9,3 5 7,
511,0,1,2,9 3 5 7,
512,2,0,,,9 3 5 7,2
513,1,2,,,9 3 5,2 7
514,1,0,5,9 3,2 7
515,2,0,5 7,9 3,2
516,1,2,5 7,9,2 3
517,0,1,5,7 9,2 3
518,0,2,5,7,2 3 9
519,1,2,,5 7,2 3 9
520,1,0,7,5,2 3 9
521,2,0,7 9,5,2 3
522,2,1,7 9,5 3,2
523,0,1,7,9 5 3,2
524,2,0,7 2,9 5 3,
525,1,2,7 2,9 5,3
526,1,0,7 2 5,9,3
527,2,0,7 2 5 3 9,,
528,1,2,7 2 5 3,,9
529,0,1,7 2 5,3,9
530,0,2,7 2 5,3,9 1
531,1,2,7 2,,3 9 1
532,0,1,7,2,3 9 1
533,2,0,7 1,2,3 9
534,2,1,7 1,2 9,3
535,0,1,7,1 2 9,3
536,0,2,6,1 2 9,3
537,1,2,6,1 2,3 9
538,1,0,6 2,1,3 9
539,2,0,6 2 9,1,3
540,1,2,6 2 9,1,3 1
541,0,1,6 2,9 1,3 1
542,0,2,6 2,9,3 1 1
543,1,2,6,2 9,3 1 1
544,1,0,6 9,2,3 1
545,2,0,6 9 1,2,3
546,2,1,6 9 1,2 3,
547,0,1,6 9,1 2 3,
548,2,0,6,1 2 3,9
549,1,2,6,1 2,9 3
550,1,0,6 2,1,9 3
551,2,0,6 2 3 9 1,,
552,1,2,6 2 3 9,,1
553,0,1,6 2 3,9,1
554,0,2,6 2 3,9,1 1
555,1,2,6 2,,9 1 1
556,0,1,6,2,9 1 1
557,2,0,6 1,2,9
558,2,1,6 1,2 9,
559,0,1,6,1 2 9,
560,0,2,5,1 2 9,6
561,1,2,5,1 2,6 9
562,1,0,5 2,1,6 9
563,2,0,5 2 9,1,6
564,1,2,5 2 9,1,6 1
565,0,1,5 2,9 1,6 1
566,0,2,5 2,9,6 1 1
567,1,2,5,2 9,6 1 1
568,1,0,5 9,2,6 1
569,2,0,5 9 1,2,6
570,2,1,5 9 1,2 6,
571,0,1,5 9,1 2 6,
572,2,0,5,1 2 6,9
573,1,2,5,1 2,9 6
574,1,0,5 2,1,9 6
575,2,0,5 2 6 9 1,,
576,1,2,5 2 6 9,,1
577,0,1,5 2 6,9,1
578,0,2,5 2 6,9,1 1
579,1,2,5 2,,9 1 1
580,0,1,5,2,9 1 1
581,2,0,5 1,2,9
582,2,1,5 1,2 9,
583,0,1,5,1 2 9,
584,0,2,4,1 2 9,5
585,1,2,4,1 2,5 9
586,1,0,4 2,1,5 9
587,2,0,4 2 9,1,5
588,1,2,4 2 9,1,5 1
589,0,1,4 2,9 1,5 1
590,0,2,4 2,9,5 1 1
591,1,2,4,2 9,5 1 1
592,1,0,4 9,2,5 1
593,2,0,4 9 1,2,5
594,2,1,4 9 1,2 5,
595,0,1,4 9,1 2 5,
596,2,0,4,1 2 5,9
597,1,2,4,1 2,9 5
598,1,0,4 2,1,9 5
599,2,0,4 2 5 9 1,,
600,1,2,4 2 5 9,,1
601,0,1,4 2 5,9,1
602,0,2,4 2 5,9,1 1
603,1,2,4 2,,9 1 1
604,0,1,4,2,9 1 1
605,2,0,4 1,2,9
606,2,1,4 1,2 9,
607,0,1,4,1 2 9,
608,0,2,3,1 2 9,4
609,1,2,3,1 2,4 9
610,1,0,3 2,1,4 9
611,2,0,3 2 9,1,4
612,1,2,3 2 9,1,4 1
613,0,1,3 2,9 1,4 1
614,0,2,3 2,9,4 1 1
615,1,2,3,2 9,4 1 1
616,1,0,3 9,2,4 1
617,2,0,3 9 1,2,4
618,2,1,3 9 1,2 4,
619,0,1,3 9,1 2 4,
620,2,0,3,1 2 4,9
621,1,2,3,1 2,9 4
622,1,0,3 2,1,9 4
623,2,0,3 2 4 9 1,,
624,1,2,3 2 4 9,,1
625,0,1,3 2 4,9,1
626,0,2,3 2 4,9,1 1
627,1,2,3 2,,9 1 1
628,0,1,3,2,9 1 1
629,2,0,3 1,2,9
630,2,1,3 1,2 9,
631,0,1,3,1 2 9,
632,0,2,8,1 2 9,3
633,1,2,8,1 2,3 9
634,1,0,8 2,1,3 9
635,2,0,8 2 9,1,3
636,1,2,8 2 9,1,3 1
637,0,1,8 2,9 1,3 1
638,0,2,8 2,9,3 1 1
639,1,2,8,2 9,3 1 1
640,1,0,8 9,2,3 1
641,2,0,8 9 1,2,3
642,2,1,8 9 1,2 3,
643,0,1,8 9,1 2 3,
