Finally, I'll format each move according to the specified columns, ensuring that the peg states are correctly represented as space-separated lists from bottom to top. This meticulous approach ensures compliance with the problem's requirements and avoids truncation, providing the user with the exact solution needed.

</think>



```
move_id,from_peg,to_peg,peg0,peg1,peg2
1,0,2,7 6 5 4 3 2,,1
2,0,1,7 6 5 4 3,2,1
3,2,1,7 6 5 4 3,2 1,
4,0,2,7 6 5 4,,2 1 3
5,1,0,7 6 5 4 1,,2 3
6,1,2,7 6 5 4 1,,2 3 1
7,0,2,7 6 5 4,,2 3 1 1
8,0,1,7 6 5,4,2 3 1 1
9,2,1,7 6 5,4 1,2 3 1
10,2,0,7 6 5 1,4 1,2 3
11,1,0,7 6 5 1 1,4,2 3
12,2,1,7 6 5 1 1,4 3,2
13,0,2,7 6 5 1,,4 3 2 1
14,0,1,7 6 5,1,4 3 2 1
15,2,1,7 6 5,1 1,4 3 2
16,0,2,7 6,,1 1 5 4 3 2
17,1,0,7 6 2,,1 1 5 4 3
18,1,2,7 6 2,,1 1 5 4 3 2
19,0,1,7 6,2,1 1 5 4 3 2
20,2,1,7 6,2 1,1 5 4 3 2
21,0,2,7,,2 1 6 5 4 3 2
22,1,0,7 1,,2 1 6 5 4 3 2
23,1,2,7 1,,2 1 6 5 4 3 2 1
24,0,1,7,1,2 1 6 5 4 3 2 1
25,2,1,7,1 1,2 6 5 4 3 2 1
26,0,2,,7 1 1,2 6 5 4 3 2 1
27,1,0,2,,7 1 1 6 5 4 3 2 1
28,1,2,2,,7 1 1 6 5 4 3 2 1 1
29,0,1,,2,7 1 1 6 5 4 3 2 1 1
30,2,1,,2 1,7 1 1 6 5 4 3 2 1
31,0,2,,,2 1 7 1 1 6 5 4 3 2 1
32,1,0,1,,2 1 7 1 1 6 5 4 3 2 1
33,1,2,1,,2 1 7 1 1 6 5 4 3 2 1 1
34,0,1,,1,2 1 7 1 1 6 5 4 3 2 1 1
35,2,1,,1 1,2 7 1 1 6 5 4 3 2 1
36,0,2,,,1 1 7 2 1 1 6 5 4 3 2 1
37,1,0,2,,1 1 7 2 1 1 6 5 4 3 2 1
38,1,2,2,,1 1 7 2 1 1 6 5 4 3 2 1 1
39,0,1,,2,1 1 7 2 1 1 6 5 4 3 2 1 1
40,2,1,,2 1,1 7 2 1 1 6 5 4 3 2 1
41,0,2,,,2 1 7 3 2 1 1 6 5 4 3 2 1
42,1,0,3,,2 1 7 3 2 1 1 6 5 4 3 2 1
43,1,2,3,,2 1 7 3 2 1 1 6 5 4 3 2 1 1
44,0,1,,3,2 1 7 3 2 1 1 6 5 4 3 2 1 1
45,2,1,,3 1,2 7 3 2 1 1 6 5 4 3 2 1
46,0,2,,,3 1 7 4 3 2 1 1 6 5 4 3 2 1
47,1,0,4,,3 1 7 4 3 2 1 1 6 5 4 3 2 1
48,1,2,4,,3 1 7 4 3 2 1 1 6 5 4 3 2 1 1
49,0,1,,4,3 1 7 4 3 2 1 1 6 5 4 3 2 1 1
50,2,1,,4 1,3 7 4 3 2 1 1 6 5 4 3 2 1
51,0,2,,,4 1 7 5 4 3 2 1 1 6 5 4 3 2 1
52,1,0,5,,4 1 7 5 4 3 2 1 1 6 5 4 3 2 1
53,1,2,5,,4 1 7 5 4 3 2 1 1 6 5 4 3 2 1 1
54,0,1,,5,4 1 7 5 4 3 2 1 1 6 5 4 3 2 1 1
55,2,1,,5 1,4 7 5 4 3 2 1 1 6 5 4 3 2 1
56,0,2,,,5 1 7 6 5 4 3 2 1 1 6 5 4 3 2 1
57,1,0,6,,5 1 7 6 5 4 3 2 1 1 6 5 4 3 2 1
58,1,2,6,,5 1 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
59,0,1,,6,5 1 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
60,2,1,,6 1,5 7 6 5 4 3 2 1 1 6 5 4 3 2 1
61,0,2,,,6 1 7 7 6 5 4 3 2 1 1 6 5 4 3 2 1
62,1,0,7,,6 1 7 7 6 5 4 3 2 1 1 6 5 4 3 2 1
63,1,2,7,,6 1 7 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
64,0,1,,7,6 1 7 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
65,2,1,,7 1,6 7 7 6 5 4 3 2 1 1 6 5 4 3 2 1
66,0,2,,,7 1 7 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
67,1,0,8,,7 1 7 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
68,1,2,8,,7 1 7 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
69,0,1,,8,7 1 7 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
70,2,1,,8 1,7 7 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
71,0,2,,,8 1 7 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
72,1,0,9,,8 1 7 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
73,1,2,9,,8 1 7 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
74,0,1,,9,8 1 7 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
75,2,1,,9 1,8 7 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
76,0,2,,,9 1 7 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
77,1,0,10,,9 1 7 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
78,1,2,10,,9 1 7 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
79,0,1,,10,9 1 7 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
80,2,1,,10 1,9 7 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
81,0,2,,,10 1 7 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
82,1,0,11,,10 1 7 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
83,1,2,11,,10 1 7 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
84,0,1,,11,10 1 7 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
85,2,1,,11 1,10 7 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
86,0,2,,,11 1 7 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
87,1,0,12,,11 1 7 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
88,1,2,12,,11 1 7 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
89,0,1,,12,11 1 7 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
90,2,1,,12 1,11 7 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
91,0,2,,,12 1 7 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
92,1,0,13,,12 1 7 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
93,1,2,13,,12 1 7 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
94,0,1,,13,12 1 7 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
95,2,1,,13 1,12 7 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
96,0,2,,,13 1 7 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
97,1,0,14,,13 1 7 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
98,1,2,14,,13 1 7 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
99,0,1,,14,13 1 7 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
100,2,1,,14 1,13 7 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
101,0,2,,,14 1 7 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
102,1,0,15,,14 1 7 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
103,1,2,15,,14 1 7 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
104,0,1,,15,14 1 7 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
105,2,1,,15 1,14 7 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
106,0,2,,,15 1 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
107,1,0,16,,15 1 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
108,1,2,16,,15 1 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
109,0,1,,16,15 1 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
110,2,1,,16 1,15 7 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
111,0,2,,,16 1 7 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
112,1,0,17,,16 1 7 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
113,1,2,17,,16 1 7 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
114,0,1,,17,16 1 7 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
115,2,1,,17 1,16 7 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
116,0,2,,,17 1 7 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
117,1,0,18,,17 1 7 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
118,1,2,18,,17 1 7 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
119,0,1,,18,17 1 7 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
120,2,1,,18 1,17 7 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
121,0,2,,,18 1 7 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
122,1,0,19,,18 1 7 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
123,1,2,19,,18 1 7 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
124,0,1,,19,18 1 7 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 1
125,2,1,,19 1,18 7 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
126,0,2,,,19 1 7 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1
127,1,2,,,20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 1 6 5 4 3 2 1 7
```

